PDB,rank,iptm,ligand_iptm,complex_iplddt,complex_ipde
_7exo_model_2,0.9778456687927246,0.9812711477279663,0.9812711477279663,0.9721961617469788,0.341404527425766,
_7exo_model_3,0.9762844443321228,0.9769460558891296,0.9769460558891296,0.9691799283027649,0.35783085227012634,
_7exo_model_4,0.9762531518936157,0.9766475558280945,0.9766475558280945,0.9691282510757446,0.36438143253326416,
_7f9g_model_0,0.7919607758522034,0.3613097369670868,0.3613097369670868,0.6116431951522827,5.800164222717285,
_7f9g_model_1,0.7891317009925842,0.38251546025276184,0.38251546025276184,0.3701730966567993,6.312021732330322,
_7f9g_model_2,0.7877259254455566,0.3446628749370575,0.3446628749370575,0.5805094838142395,8.902196884155273,
_7f9g_model_3,0.7838653922080994,0.3370375633239746,0.3370375633239746,0.5918465852737427,6.1086225509643555,
_7f9g_model_4,0.7698976993560791,0.2762202322483063,0.2762202322483063,0.5664286613464355,8.976076126098633,
_7jnf_model_0,0.8336974382400513,0.6795543432235718,0.6795543432235718,0.7243750691413879,10.77238941192627,
_7jnf_model_1,0.83253413438797,0.6791671514511108,0.6791671514511108,0.7238177061080933,10.778104782104492,
_7jnf_model_2,0.8281121253967285,0.6659901738166809,0.6659901738166809,0.7224612832069397,11.286469459533691,
_7jnf_model_3,0.8051657676696777,0.5366550087928772,0.5366550087928772,0.5981742143630981,16.00014877319336,
_7jnf_model_4,0.7786233425140381,0.44773778319358826,0.44773778319358826,0.5112346410751343,16.907651901245117,
_7jwf_model_0,0.8635266423225403,0.7155752778053284,0.7155752778053284,0.8748301267623901,9.403210639953613,
_7jwf_model_1,0.8589926958084106,0.688646674156189,0.688646674156189,0.8631776571273804,10.477142333984375,
_7jwf_model_2,0.8589491248130798,0.6901841163635254,0.6901841163635254,0.8637495636940002,10.451671600341797,
_7jwf_model_3,0.8581427931785583,0.6821366548538208,0.6821366548538208,0.8596541881561279,10.733026504516602,
_7jwf_model_4,0.8576535582542419,0.6776602864265442,0.6776602864265442,0.8679092526435852,10.691627502441406,
_7lvy_model_0,0.9225128293037415,0.9497543573379517,0.9497543573379517,0.8753159046173096,0.958920419216156,
_7lvy_model_1,0.9218434691429138,0.9507467150688171,0.9507467150688171,0.8751822710037231,0.9423933029174805,
_7lvy_model_2,0.9199644327163696,0.9489556550979614,0.9489556550979614,0.870119571685791,0.9680618047714233,
_7lvy_model_3,0.9185113906860352,0.9449526071548462,0.9449526071548462,0.8668676614761353,1.0206515789031982,
