PDB,rank,aggregate_score,iptm
7pgk,2,0.2121521234512329,0.13917365670204163
7pgk,3,0.20848459005355835,0.1351858377456665
7pgk,4,0.18856637179851532,0.1102515384554863
7pug,0,0.4052985906600952,0.29693853855133057
7pug,1,0.3896579146385193,0.278021901845932
7pug,2,0.38893207907676697,0.2771598696708679
7pug,3,0.37134620547294617,0.2554355263710022
7pug,4,0.3557460308074951,0.23562809824943542
7rft,0,0.27943772077560425,0.2089860439300537
7rft,1,0.27075710892677307,0.19643671810626984
7rft,2,0.26969683170318604,0.1951679140329361
7rft,3,0.2621247172355652,0.18600019812583923
7rft,4,0.25512802600860596,0.17818975448608398
7rpy,0,0.4854363203048706,0.4256628155708313
7rpy,1,0.4842500686645508,0.42452067136764526
7rpy,2,0.48361343145370483,0.42345795035362244
7rpy,3,0.4824169874191284,0.42212146520614624
7rpy,4,0.47945088148117065,0.41888704895973206
7toh,0,0.6564950346946716,0.582496702671051
7toh,1,0.6426090002059937,0.565319836139679
7toh,2,0.5042938590049744,0.3935031592845917
7toh,3,0.4957541823387146,0.3829582631587982
7toh,4,0.49313032627105713,0.37971729040145874
7tvp,0,0.3419448733329773,0.23578500747680664
7tvp,1,0.3351137340068817,0.22945751249790192
7tvp,2,0.3328678607940674,0.22568394243717194
7tvp,3,0.32792747020721436,0.22190380096435547
7tvp,4,0.32713523507118225,0.21989375352859497
7vi7,0,0.9017753601074219,0.8922313451766968
7vi7,1,0.9017679691314697,0.8924132585525513
7vi7,2,0.9013538956642151,0.891853392124176
7vi7,3,0.9011855125427246,0.8914708495140076
7vi7,4,0.9010251760482788,0.8920648097991943
7vu1,0,0.34786152839660645,0.24331063032150269
7vu1,1,0.3471521735191345,0.24215340614318848
7vu1,2,0.34551775455474854,0.24070532619953156
7vu1,3,0.3297339379787445,0.22076945006847382
7vu1,4,0.3277400732040405,0.2179507315158844
7vwb,0,0.7756247520446777,0.7420205473899841
7vwb,1,0.7755469679832458,0.7426123023033142
7vwb,2,0.7748708128929138,0.7410542368888855
7vwb,3,0.7731500267982483,0.7389581799507141
7vwb,4,0.7702610492706299,0.7353602051734924
7w11,0,0.8874378204345703,0.8769335746765137
7w11,1,0.8867922425270081,0.8762514591217041
7w11,2,0.8867172598838806,0.8761419653892517
7w11,3,0.8860317468643188,0.8754317760467529
7w11,4,0.8859204053878784,0.875436544418335
7w18,0,0.3858097195625305,0.3033246397972107
7w18,1,0.3752320408821106,0.2912980318069458
7w18,2,0.37016719579696655,0.2854369878768921
7w18,3,0.36342281103134155,0.2777029871940613
7w18,4,0.35666197538375854,0.2699476480484009
7xtn,0,0.4331650137901306,0.3401750922203064
7xtn,1,0.4323081374168396,0.3392343819141388
7xtn,2,0.43208223581314087,0.339000403881073
7xtn,3,0.427562415599823,0.3331175446510315
7xtn,4,0.4192548990249634,0.32315951585769653
7ywf,0,0.37771281599998474,0.26474878191947937
7ywf,1,0.35373660922050476,0.23513074219226837
7ywf,2,0.3534892201423645,0.23495252430438995
7ywf,3,0.3533169627189636,0.2347257137298584
7ywf,4,0.3520454466342926,0.23334315419197083
7zon,0,0.6857963800430298,0.6299254894256592
7zon,1,0.6834733486175537,0.6266617774963379
7zon,2,0.6834110021591187,0.6274866461753845
7zon,3,0.6832458972930908,0.627192497253418
7zon,4,0.6813422441482544,0.6247703433036804
7zoo,0,0.47035834193229675,0.37002649903297424
7zoo,1,0.4683384895324707,0.3679490387439728
7zoo,2,0.4675375819206238,0.36706674098968506
7zoo,3,0.42169684171676636,0.3104915916919708
7zoo,4,0.4208551347255707,0.3102424442768097
8ad2,0,0.6798145771026611,0.6330143809318542
8ad2,1,0.6789173483848572,0.6308308839797974
8ad2,2,0.6768479347229004,0.6282387971878052
8ad2,3,0.6763120293617249,0.6275702118873596
8ad2,4,0.6697719097137451,0.6205337643623352
8axs,0,0.5871012210845947,0.5112481117248535
8axs,1,0.5437049269676208,0.457205206155777
8axs,2,0.5360972285270691,0.44771233201026917
8axs,3,0.5123978853225708,0.41804951429367065
8axs,4,0.5079197883605957,0.4125080108642578
8bf3,0,0.42534780502319336,0.3214852809906006
8bf3,1,0.4221961498260498,0.31733283400535583
8bf3,2,0.42021211981773376,0.31486281752586365
8bf3,3,0.3604469895362854,0.2407582849264145
8bf3,4,0.3551293611526489,0.23427271842956543
8csf,0,0.8502095937728882,0.8407765030860901
